"Urząd";"Numer na karcie do głosowania";"Nazwisko i imiona";"Nazwa komitetu";"Skrót nazwy komitetu";"Wiek";"Wykształcenie";"Miejsce zamieszkania";"TERYT m. z.";"Gmina m. z.";"Poparcie";"Przynależność do partii";"Liczba głosów";"Procent głosów";"Czy uzyskał mandat";"Obszar";"TERYT";"Płeć";"Liczba głosów ważnych na wszystkich kandydatów"
"Burmistrz Bobowej";2;"POPIELA Dorota";"KOMITET WYBORCZY WYBORCÓW DOROTY POPIELI";"KWW DOROTY POPIELI";44;"wyższe";"Wilczyska";"120503";"gm. Bobowa";"";"nie należy do partii politycznej";;;;"gm. Bobowa";"120503";"Kobieta";
"Burmistrz Bobowej";3;"WĄS Marcin Andrzej";"KOMITET WYBORCZY WYBORCÓW RAZEM DLA NOWOCZESNEJ GMINY BOBOWA";"KWW RAZEM DLA NOWOCZESNEJ GMINY BOBOWA";38;"wyższe magisterskie";"Jankowa";"120503";"gm. Bobowa";"";"nie należy do partii politycznej";;;;"gm. Bobowa";"120503";"Mężczyzna";
"Wójt Gminy Gorlice";1;"PRZYBYLSKI Jan Adam";"KOMITET WYBORCZY WYBORCÓW JANA PRZYBYLSKIEGO";"KWW JANA PRZYBYLSKIEGO";52;"średnie";"Gorlice";"120501";"m. Gorlice";"";"członek partii politycznej: PSL";;;;"gm. Gorlice";"120504";"Mężczyzna";
"Wójt Gminy Lipinki";1;"CZAPKA Bogdan Leszek";"KOMITET WYBORCZY WYBORCÓW PRZYJAZNA GMINA BOGDAN CZAPKA";"KWW PRZYJAZNA GMINA BOGDAN CZAPKA";57;"wyższe";"Lipinki";"120505";"gm. Lipinki";"";"nie należy do partii politycznej";;;;"gm. Lipinki";"120505";"Mężczyzna";
"Wójt Gminy Lipinki";2;"CZELUŚNIAK Bogdan Paweł";"KOMITET WYBORCZY WYBORCÓW MAŁOPOLSKI RUCH SAMORZĄDOWY ZIEMI GORLICKIEJ";"KWW MRSZG";59;"wyższe";"Wójtowa";"120505";"gm. Lipinki";"";"nie należy do partii politycznej";;;;"gm. Lipinki";"120505";"Mężczyzna";
"Wójt Gminy Lipinki";3;"DYBAŚ Iwona";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"KW PRAWO I SPRAWIEDLIWOŚĆ";48;"wyższe";"Pagorzyna";"120505";"gm. Lipinki";"";"nie należy do partii politycznej";;;;"gm. Lipinki";"120505";"Kobieta";
"Wójt Gminy Lipinki";4;"RAKOCZY Czesław";"KOMITET WYBORCZY WYBORCÓW NASZA GMINA W LIPINKACH";"KWW NASZA GMINA W LIPINKACH";67;"wyższe";"Lipinki";"120505";"gm. Lipinki";"";"nie należy do partii politycznej";;;;"gm. Lipinki";"120505";"Mężczyzna";
"Wójt Gminy Łużna";1;"JURUŚ Wiesław Kazimierz";"KOMITET WYBORCZY WYBORCÓW „KOALICJA GORLICKA KGR”";"KWW „KOALICJA GORLICKA KGR”";55;"wyższe";"Łużna";"120506";"gm. Łużna";"";"nie należy do partii politycznej";;;;"gm. Łużna";"120506";"Mężczyzna";
"Wójt Gminy Łużna";2;"TARSA Mariusz Zbigniew";"KOMITET WYBORCZY WYBORCÓW MARIUSZA TARSY";"KWW MARIUSZA TARSY";51;"wyższe";"Łużna";"120506";"gm. Łużna";"";"nie należy do partii politycznej";;;;"gm. Łużna";"120506";"Mężczyzna";
"Wójt Gminy Moszczenica";1;"MAZUR Mieczysław Jan";"KOMITET WYBORCZY WYBORCÓW POLACY DLA WOLNOŚCI";"KWW POLACY DLA WOLNOŚCI";67;"wyższe";"Moszczenica";"120507";"gm. Moszczenica";"";"nie należy do partii politycznej";;;;"gm. Moszczenica";"120507";"Mężczyzna";
"Wójt Gminy Moszczenica";2;"STĘPIEŃ Ewa";"KOMITET WYBORCZY WYBORCÓW EWY STĘPIEŃ";"KWW EWY STĘPIEŃ";40;"wyższe";"Moszczenica";"120507";"gm. Moszczenica";"";"nie należy do partii politycznej";;;;"gm. Moszczenica";"120507";"Kobieta";
"Wójt Gminy Moszczenica";3;"WAŁĘGA Jerzy Sylwester";"KOMITET WYBORCZY WYBORCÓW WSPÓLNOTA SAMORZĄDOWA MOSZCZENICA STASZKÓWKA";"KWW WSPÓLNOTA SAMORZĄDOWA MS";56;"wyższe";"Moszczenica";"120507";"gm. Moszczenica";"";"nie należy do partii politycznej";;;;"gm. Moszczenica";"120507";"Mężczyzna";
"Wójt Gminy Ropa";1;"GÓRSKI Karol";"KOMITET WYBORCZY WYBORCÓW MAŁOPOLSKI RUCH SAMORZĄDOWY ZIEMI GORLICKIEJ";"KWW MRSZG";65;"wyższe";"Ropa";"120508";"gm. Ropa";"";"nie należy do partii politycznej";;;;"gm. Ropa";"120508";"Mężczyzna";
"Wójt Gminy Ropa";2;"KORZEŃ Daniel Jan";"KOMITET WYBORCZY WYBORCÓW „KGR” KOMITET GMINY ROPA";"KWW KGR KOMITET GMINY ROPA";43;"wyższe";"Łosie";"120508";"gm. Ropa";"";"nie należy do partii politycznej";;;;"gm. Ropa";"120508";"Mężczyzna";
"Wójt Gminy Sękowa";1;"MAŁUCH Małgorzata Krystyna";"KOMITET WYBORCZY WYBORCÓW MAŁOPOLSKI RUCH SAMORZĄDOWY ZIEMI GORLICKIEJ";"KWW MRSZG";64;"wyższe";"Sękowa";"120509";"gm. Sękowa";"";"nie należy do partii politycznej";;;;"gm. Sękowa";"120509";"Kobieta";
"Wójt Gminy Uście Gorlickie";1;"DOBEK Jolanta Joanna";"KOMITET WYBORCZY WYBORCÓW  JOLANTY DOBEK - WSPÓLNA GMINA";"KWW JOLANTY DOBEK - WSPÓLNA GMINA";48;"wyższe";"Uście Gorlickie";"120510";"gm. Uście Gorlickie";"";"nie należy do partii politycznej";;;;"gm. Uście Gorlickie";"120510";"Kobieta";
