"Województwo";"Powiat";"Gmina";"Wybierany organ";"Liczba kandydatów";"Mieszkańcy";"Wyborcy";"Siedziba TKW";"Opis granic";"TERYT Gminy";"Liczba wyborców w części B spisu wyborów";"Liczba wysłanych pakietów wyborczych"
"dolnośląskie";"milicki";"gm. Krośnice";"Wójt Gminy Krośnice";3;7883;6291;"Krośnice";"gm. Krośnice";"021302";0;0
"dolnośląskie";"milicki";"gm. Milicz";"Burmistrz Gminy Milicz";3;22790;18457;"Milicz";"gm. Milicz";"021303";1;0
"dolnośląskie";"oleśnicki";"m. Oleśnica";"Burmistrz Miasta Oleśnicy";5;33446;27387;"Oleśnica";"m. Oleśnica";"021401";1;1
"dolnośląskie";"oleśnicki";"gm. Bierutów";"Burmistrz Bierutowa";3;9161;7453;"Bierutów";"gm. Bierutów";"021402";0;1
"dolnośląskie";"oleśnicki";"gm. Dobroszyce";"Wójt Gminy Dobroszyce";1;7117;5518;"Dobroszyce";"gm. Dobroszyce";"021403";0;0
"dolnośląskie";"oleśnicki";"gm. Dziadowa Kłoda";"Wójt Gminy Dziadowa Kłoda";2;4537;3508;"Dziadowa Kłoda";"gm. Dziadowa Kłoda";"021404";0;0
"dolnośląskie";"oleśnicki";"gm. Międzybórz";"Burmistrz Miasta i Gminy Międzybórz";3;4982;3967;"Międzybórz";"gm. Międzybórz";"021405";1;0
"dolnośląskie";"oleśnicki";"gm. Oleśnica";"Wójt Gminy Oleśnica";3;14902;11479;"Oleśnica";"gm. Oleśnica";"021406";0;0
"dolnośląskie";"oleśnicki";"gm. Syców";"Burmistrz Miasta i Gminy Syców";4;16057;13012;"Syców";"gm. Syców";"021407";1;2
"dolnośląskie";"oleśnicki";"gm. Twardogóra";"Burmistrz Miasta i Gminy Twardogóra";4;12297;10005;"Twardogóra";"gm. Twardogóra";"021408";0;0
"dolnośląskie";"oławski";"m. Oława";"Burmistrz Miasta Oława";6;30418;24689;"Oława";"m. Oława";"021501";2;2
"dolnośląskie";"oławski";"gm. Domaniów";"Wójt Gminy Domaniów";2;5004;4074;"Domaniów";"gm. Domaniów";"021502";1;1
"dolnośląskie";"oławski";"gm. Jelcz-Laskowice";"Burmistrz Jelcza-Laskowic";4;21919;17644;"Jelcz-Laskowice";"gm. Jelcz-Laskowice";"021503";1;7
"dolnośląskie";"oławski";"gm. Oława";"Wójt Gminy Oława";3;15156;12083;"Oława";"gm. Oława";"021504";0;0
"dolnośląskie";"polkowicki";"gm. Chocianów";"Burmistrz Miasta i Gminy Chocianów";1;12055;9694;"Chocianów";"gm. Chocianów";"021601";0;1
"dolnośląskie";"polkowicki";"gm. Gaworzyce";"Wójt Gminy Gaworzyce";1;3708;2932;"Gaworzyce";"gm. Gaworzyce";"021602";0;0
"dolnośląskie";"polkowicki";"gm. Grębocice";"Wójt Gminy Grębocice";1;5398;4209;"Grębocice";"gm. Grębocice";"021603";0;1
